Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
W_AccountPayment,Success,6,0,2019-02-14 10:06:29 +0530,2019-02-20 09:08:50 +0530,0:00:04
W_EnterTAmount,Success,5,0,2019-02-14 10:05:25 +0530,2019-02-22 13:55:18 +0530,0:00:04
W_LaunchApp,Success,31,0,2019-02-13 16:53:08 +0530,2019-02-25 14:17:32 +0530,0:00:05
MasterScript,Success,13,7,2019-02-14 09:48:12 +0530,2019-02-25 15:27:04 +0530,0:01:45
W_SortCode,Success,6,0,2019-02-14 10:06:34 +0530,2019-02-20 09:08:57 +0530,0:00:04
W_ConfirmTransfer,Success,5,0,2019-02-14 10:05:34 +0530,2019-02-22 13:55:28 +0530,0:00:03
W_Password,Success,11,0,2019-02-14 10:04:44 +0530,2019-02-22 13:54:59 +0530,0:00:07
W_ClickMakePayment,Success,6,0,2019-02-14 10:06:23 +0530,2019-02-20 09:08:43 +0530,0:00:04
W_enterPaymentAmount,Success,6,0,2019-02-14 10:06:40 +0530,2019-02-20 09:09:05 +0530,0:00:03
W_ClickTransfer,Success,5,0,2019-02-14 10:05:20 +0530,2019-02-22 13:55:14 +0530,0:00:03
W_Reference,Success,6,0,2019-02-14 10:06:46 +0530,2019-02-20 09:09:13 +0530,0:00:03
W_Login,Success,11,0,2019-02-14 10:05:11 +0530,2019-02-22 13:55:06 +0530,0:00:06
W_Submit_MakePayment,Success,6,0,2019-02-14 10:06:50 +0530,2019-02-20 09:09:19 +0530,0:00:02
W_SubmitTransfer,Success,5,0,2019-02-14 10:05:31 +0530,2019-02-22 13:55:24 +0530,0:00:01
W_CloseApp,Success,11,0,2019-02-14 10:05:39 +0530,2019-02-22 13:55:33 +0530,0:00:00
W_Username,Success,11,0,2019-02-14 10:04:37 +0530,2019-02-22 13:54:51 +0530,0:00:06
W_ConfirmMakePayment,Success,6,0,2019-02-14 10:06:54 +0530,2019-02-20 09:09:22 +0530,0:00:03
