Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:05:39.377 +0530,"Success",0:00:00,0,0,0,"20190214_100539.377/LogFile.txt","","",1
2019-02-14 10:06:59.393 +0530,"Success",0:00:00,0,0,0,"20190214_100659.393/LogFile.txt","","",1
2019-02-14 10:28:03.062 +0530,"Success",0:00:00,0,0,0,"20190214_102803.062/LogFile.txt","","",1
2019-02-14 10:29:23.679 +0530,"Success",0:00:00,0,0,0,"20190214_102923.679/LogFile.txt","","",1
2019-02-14 10:40:43.392 +0530,"Success",0:00:00,0,0,0,"20190214_104043.392/LogFile.txt","","",1
2019-02-14 10:47:01.637 +0530,"Success",0:00:01,0,0,0,"20190214_104701.637/LogFile.txt","","",1
2019-02-14 12:09:22.183 +0530,"Success",0:00:01,0,0,0,"20190214_120922.183/LogFile.txt","","",1
2019-02-14 13:12:05.734 +0530,"Success",0:00:01,0,0,0,"20190214_131205.734/LogFile.txt","","",1
2019-02-20 09:09:30.153 +0530,"Success",0:00:01,0,0,0,"20190220_090930.153/LogFile.txt","","",1
2019-02-20 09:10:52.284 +0530,"Success",0:00:01,0,0,0,"20190220_091052.284/LogFile.txt","","",1
2019-02-22 13:55:33.280 +0530,"Success",0:00:01,0,0,0,"20190222_135533.280/LogFile.txt","","",1
