Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:05:11.927 +0530,"Success",0:00:06,0,0,0,"20190214_100511.927/LogFile.txt","","",1
2019-02-14 10:06:15.307 +0530,"Success",0:00:05,0,0,0,"20190214_100615.307/LogFile.txt","","",1
2019-02-14 10:27:19.196 +0530,"Success",0:00:05,0,0,0,"20190214_102719.196/LogFile.txt","","",1
2019-02-14 10:28:41.581 +0530,"Success",0:00:03,0,0,0,"20190214_102841.581/LogFile.txt","","",1
2019-02-14 10:40:16.259 +0530,"Success",0:00:06,0,0,0,"20190214_104016.259/LogFile.txt","","",1
2019-02-14 10:46:12.064 +0530,"Success",0:00:06,0,0,0,"20190214_104612.064/LogFile.txt","","",1
2019-02-14 12:08:44.850 +0530,"Success",0:00:08,0,0,0,"20190214_120844.850/LogFile.txt","","",1
2019-02-14 13:11:02.636 +0530,"Success",0:00:08,0,0,0,"20190214_131102.636/LogFile.txt","","",1
2019-02-20 09:08:33.674 +0530,"Success",0:00:07,0,0,0,"20190220_090833.674/LogFile.txt","","",1
2019-02-20 09:10:14.616 +0530,"Success",0:00:08,0,0,0,"20190220_091014.616/LogFile.txt","","",1
2019-02-22 13:55:06.439 +0530,"Success",0:00:05,0,0,0,"20190222_135506.439/LogFile.txt","","",1
