Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-02-14 10:04:44.937 +0530,"Success",0:00:07,0,0,0,"20190214_100444.937/LogFile.txt","","",1
2019-02-14 10:06:08.195 +0530,"Success",0:00:04,0,0,0,"20190214_100608.195/LogFile.txt","","",1
2019-02-14 10:27:09.727 +0530,"Success",0:00:07,0,0,0,"20190214_102709.727/LogFile.txt","","",1
2019-02-14 10:28:32.195 +0530,"Success",0:00:07,0,0,0,"20190214_102832.195/LogFile.txt","","",1
2019-02-14 10:40:09.101 +0530,"Success",0:00:05,0,0,0,"20190214_104009.101/LogFile.txt","","",1
2019-02-14 10:46:04.809 +0530,"Success",0:00:05,0,0,0,"20190214_104604.809/LogFile.txt","","",1
2019-02-14 12:08:30.972 +0530,"Success",0:00:11,0,0,0,"20190214_120830.972/LogFile.txt","","",1
2019-02-14 13:10:49.124 +0530,"Success",0:00:11,0,0,0,"20190214_131049.124/LogFile.txt","","",1
2019-02-20 09:08:24.074 +0530,"Success",0:00:07,0,0,0,"20190220_090824.074/LogFile.txt","","",1
2019-02-20 09:10:03.608 +0530,"Success",0:00:08,0,0,0,"20190220_091003.608/LogFile.txt","","",1
2019-02-22 13:54:59.095 +0530,"Success",0:00:05,0,0,0,"20190222_135459.095/LogFile.txt","","",1
